"","Provider.ID","QC-T-ed_1b","QC-T-op_3b","QC-T-op_20","QC-T","QC-CP-op_6","QC-CP-op_7","QC-CP-pn_6","QC-CP-scip_inf_1","QC-CP-scip_inf_2","QC-CP-scip_inf_3","QC-CP-scip_vte_2","QC-CP-stk_6","QC-CP-vte_3","QC-CP-vte_6","QC-CP","QC-AD-readm_30_ami","QC-AD-readm_30_copd","QC-AD-readm_30_cabg","QC-AD-readm_30_hf","QC-AD-readm_30_pn","QC-AD-readm_30_hipknee","QC-AD-readm_30_stk","QC-AD","PD-mort_30_copd","PD-mort_30_cabg","PD-mort_30_ami","PD-mort_30_hf","PD-mort_30_pn","PD-mort_30_stk","QC","PD","PW","QS"
"27","100009",0.896188850967008,NA,0.930530709600477,0.913359780283743,0.946666666666667,0.887096774193548,0.9875,0.99,0.989010989010989,0.945054945054945,0.99,0.951219512195122,0.875,0.830985915492958,0.939253480261423,0.29496090356212,0.211120064464142,0.467680608365019,0.0900437355286854,0.0191625266146203,0.414897445124145,0.134777818582446,0.233234728891597,0.938254665203074,0.540999057492931,0.904229848363927,0.907631578947368,0.522079772079772,0.93915248098515,23.1760887715196,26.4019300170679,3.75,53.3280187885875
"28","10001",0.652161547212742,NA,0.925163983303518,0.78866276525813,1,1,0.9875,0.99,0.989010989010989,0.978021978021978,1,0.963414634146341,0.734375,1,0.964232260117931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","100012",0.794937428896473,NA,0.836314847942755,0.815626138419614,0.933333333333333,0.967741935483871,0.95,0.98,0.978021978021978,0.956043956043956,0.99,0.951219512195122,0.84375,0.830985915492958,0.938109663057122,0.0990443092962641,0.0875637926403439,0.467680608365019,0.187805505531258,0.771705701443104,0.16012954300108,0.233933161953727,0.286837517461542,0.19840834248079,0.333647502356268,0.749401436552275,0.948684210526316,0.551519468186135,0.284317276349149,22.673036877092,17.0332124247274,8.75,48.4562493018194
"30","100014",0.587599544937429,NA,0.566189624329159,0.576894584633294,0.986666666666667,0.967741935483871,0.95,0.99,1,0.989010989010989,1,0.975609756097561,0.890625,1,0.974965434725909,0.475238922675934,0.579102874026323,NA,0.808850012863391,0.221433640880057,0.287153652392947,0.98641204553801,0.559698524729443,0.277442371020856,NA,0.858739026336792,0.525,0.356600189933523,0.123143788482434,23.461761600985,14.2728358384907,8.33333333333333,46.067930772809
"31","100017",0.717576791808874,NA,0.665175909361956,0.691376350585415,0.973333333333333,0.919354838709677,0.9875,1,0.989010989010989,0.978021978021978,0.98,0.951219512195122,0.75,0.549295774647887,0.907773642591899,0.509556907037359,0.506849315068493,0.0836501901140685,0.301003344481605,0.24509108114502,0.987405541561713,0.420492104296732,0.436292640529284,0.0452799121844127,0.373232799245994,0.0227454110135674,0.0392105263157895,0.316951566951567,0.69757334299167,22.6160292634066,8.30551977057223,3.75,34.6715490339789
"32","100018",0.510523321956769,NA,0.665175909361956,0.587849615659362,0.973333333333333,0.951612903225806,0.9875,0.99,0.978021978021978,0.945054945054945,1,0.926829268292683,0.84375,0.774647887323944,0.937075031525269,0.876629018245004,0.888262154176739,0.728136882129278,0.928994082840237,0.940856399337592,0.414897445124145,0.965846492838781,0.820517496384539,0.120472008781559,0.970782280867106,0.418196328810854,0.192894736842105,0.381291547958215,0.233611010503441,26.0604682618797,12.8735995209071,3.75,42.6840677827868
"33","100019",0.405005688282139,NA,0.277877161598092,0.341441424940115,0.986666666666667,0.983870967741935,0.975,1,0.989010989010989,0.989010989010989,1,0.98780487804878,1,1,0.991136449047936,0.240225890529974,0.211120064464142,0.10171102661597,0.0671468999228196,0.24509108114502,0.287153652392947,0.494307748806463,0.235250909125334,0.153677277716795,0.0471253534401508,0.45171588188348,0.775789473684211,0.580009496676163,0.413980441868888,17.4203198123709,13.4572106959427,1.66666666666667,32.5441971749803
"34","100022",0.989192263936291,NA,0.986881335718545,0.988036799827418,0.96,0.983870967741935,1,1,0.978021978021978,0.978021978021978,1,0.951219512195122,0.671875,0.943661971830986,0.9466671407812,0.0425716768027802,0.0400214880472737,0.510456273764259,0.0671468999228196,0.0319375443577005,0.707808564231738,0.0363569592361366,0.205185629480387,0.376509330406147,0.540999057492931,0.233439744612929,0.836052631578947,0.0992402659069326,0.390800434625136,23.7765507787667,13.7613414701279,0,37.5378922488946
"35","100023",0.764789533560865,NA,0.921884317233154,0.84333692539701,0.96,0.967741935483871,0.9,0.99,0.978021978021978,1,0.99,0.865853658536585,0.65625,1,0.930786757204243,0.905299739357081,0.98146655922643,0.728136882129278,0.549524054540777,0.990537023894015,0.414897445124145,0.910760190965846,0.782945985033939,0.0384193194291986,0.605089538171536,0.213487629688747,0.0526315789473685,0.0562678062678063,0.197754436798262,28.4118851959466,6.46472394057177,1.66666666666667,36.543275803185
"36","100025",0.76877133105802,NA,0.925163983303518,0.846967657180769,1,0.967741935483871,0.9875,0.99,0.978021978021978,0.967032967032967,0.99,0.890243902439024,0.90625,0.943661971830986,0.962045275480883,0.856211989574283,0.888262154176739,0.315589353612167,0.66709544635966,0.940856399337592,0.707808564231738,0.995225853837679,0.767292823018551,0.634193194291987,0.540999057492931,0.324421388667199,0.357105263157895,0.296296296296296,0.233611010503441,28.6256195075578,13.2590345022764,7.08333333333333,48.9679873431675
"37","100026",0.834755403868032,NA,0.642516398330352,0.738635901099192,0.986666666666667,0.983870967741935,0.9375,1,0.989010989010989,0.978021978021978,0.98,0.878048780487805,0.96875,1,0.970186938192937,0.0990443092962641,0.86784850926672,0.0636882129277566,0.899665551839465,0.950555949846227,0.0834832673623606,0.9386705839148,0.557565197779085,0.92178924259056,0.727615457115928,0.185155626496409,0.993157894736842,0.683998100664767,0.717493661716769,25.1820893007913,23.4956110184515,3.75,52.4277003192428
"38","100028",0.687713310580205,NA,0.85629099582588,0.772002153203042,0.973333333333333,1,0.9625,1,1,1,1,1,0.96875,NA,0.989398148148148,0.677671589921807,0.972602739726027,NA,0.611525598147672,0.900875325289804,0.817920115149334,0.98053617333823,0.826855256928812,0.19840834248079,NA,0.272944932162809,0.407105263157895,0.789411206077873,0.303513219847881,28.758395092,13.142553091515,12.0833333333333,53.9842815168484
