Provider.ID,QC-T-ed_1b,QC-T-op_3b,QC-T-op_20,QC-T,QC-CP-op_6,QC-CP-op_7,QC-CP-pn_6,QC-CP-scip_inf_1,QC-CP-scip_inf_2,QC-CP-scip_inf_3,QC-CP-scip_vte_2,QC-CP-stk_6,QC-CP-vte_3,QC-CP-vte_6,QC-CP,QC-AD-readm_30_ami,QC-AD-readm_30_copd,QC-AD-readm_30_cabg,QC-AD-readm_30_hf,QC-AD-readm_30_pn,QC-AD-readm_30_hipknee,QC-AD-readm_30_stk,QC-AD,PD-mort_30_copd,PD-mort_30_cabg,PD-mort_30_ami,PD-mort_30_hf,PD-mort_30_pn,PD-mort_30_stk,QC,PD,PW,QS,State
410008,0.720705347,0.5599022,0.277877162,0.519494903,1,0.951612903,0.9875,1,0.978021978,1,0.99,0.987804878,1,,0.98832664,0.67767159,0.937953263,,0.720349884,0.830376153,0.414897445,0.629452809,0.701783524,0.634193194,,0.185155626,0.728684211,0.35660019,0.553422673,24.55116741,16.38703929,28.75,69.68820671,RI
410009,0.829351536,0.249388753,0.592725104,0.557155131,0.973333333,0.951612903,0.925,0.97,0.967032967,0.967032967,0.99,0.951219512,0.875,0.915492958,0.948572464,0.509556907,0.849315068,,0.161306921,0.394369529,0.898164807,0.348879912,0.526932191,0.37650933,,0.904229848,0.817894737,0.35660019,0.233611011,22.58510873,17.92563411,5,45.51074284,RI
410010,0.021331058,,0.642516398,0.331923728,0.986666667,1,,1,0.989010989,0.989010989,0.99,,,,0.992448107,,,,,,,,,,,,,,,,,1.666666667,,RI
410011,0.44254835,,0.566189624,0.504368987,0.986666667,0.951612903,0.9625,0.97,0.967032967,1,0.99,0.93902439,0.859375,,0.958467992,0.170286707,0.156594145,,0.031386674,0.742370476,,0.629452809,0.346018162,0.679198683,,0.616520351,0.280789474,0.789411206,0.444042014,20.09839046,18.73307818,0.833333333,39.66480198,RI
410012,0.753697383,,0.912045319,0.832871351,0.946666667,0.951612903,0.975,0.95,0.989010989,0.978021978,0.99,0.975609756,0.953125,0.591549296,0.930059659,0.432232841,0.130271287,,0.263184976,0.36219541,0.19827276,0.233933162,0.270015073,0.308177827,,0.989225858,0.7,0.895536562,0.473741398,22.58828981,22.4445443,12.91666667,57.94950077,RI
410013,0.816837315,0.919315403,0.566189624,0.767447448,1,0.967741935,0.85,1,0.978021978,0.989010989,0.97,,1,,0.969346863,0.264986968,0.39994628,,0.979161307,0.771705701,0.34041022,0.348879912,0.517515065,0.859769484,,0.616520351,0.796052632,0.428774929,0.961608113,25.04788194,24.41817006,10.83333333,60.29938534,RI
41005F,,,,,,,0.925,0.96,1,0.989010989,1,,,,0.974802198,0.264986968,,,0.090043736,0.09510291,,,0.150044538,,,0.272944932,0.130526316,0.480294397,,,9.819618277,,,RI
420002,0.75,,0.825581395,0.787790698,0.986666667,0.983870968,0.9625,1,0.989010989,0.978021978,1,0.987804878,0.953125,1,0.984100048,0.876629018,0.472468439,0.962927757,0.122202213,0.09510291,0.287153652,0.019831069,0.405187865,0.038419319,0.727615457,0.099760575,0.026052632,0.00997151,0.390800435,24.18976234,7.181221819,3.75,35.12098416,SC
420004,0.746302617,,0.683959451,0.715131034,0.986666667,0.983870968,0.975,0.99,1,1,1,0.963414634,0.875,0.985915493,0.975986776,0.029973936,0.542841794,0.534220532,0.280936455,0.329074994,0.064771501,0.629452809,0.344467432,0.921789243,0.788878417,0.550678372,0.466842105,0.895536562,0.085476277,22.6176138,20.60667208,15.83333333,59.05761922,SC
420005,0.393060296,,0.825581395,0.609320846,0.893333333,1,0.95,0.98,0.978021978,0.945054945,1,0.93902439,,,0.960679331,0.327106864,0.716626377,,0.63725238,0.36219541,0.34041022,0.105031216,0.414770411,0.546377607,,0.113328013,0.076052632,0.580009497,0.697573343,22.05300653,13.42227394,23.75,59.22528047,SC
420007,0.91410694,,0.949612403,0.931859671,0.986666667,0.967741935,0.9875,0.99,0.989010989,0.989010989,1,0.975609756,0.875,1,0.976054034,0.905299739,0.867848509,0.918250951,0.966297916,0.95055595,0.707808564,0.81197209,0.875433388,0.883369923,0.844486334,0.113328013,0.213947368,0.879154796,0.10467222,30.92607882,16.88310363,12.08333333,59.89251578,SC
420009,0.360068259,0.537897311,0.620751342,0.506238971,0.92,0.983870968,0.925,0.95,0.945054945,0.978021978,1,0.914634146,1,,0.957398004,0.747610773,0.801772764,,0.85978904,0.221433641,0.487225621,0.208226221,0.55434301,0.938254665,,0.099760575,0.383421053,0.332146249,0.522274538,22.42199983,15.17238053,14.16666667,51.76104703,SC
420010,0.485210466,,0.620751342,0.552980904,1,1,0.925,0.98,0.989010989,0.967032967,0.99,0.914634146,1,1,0.97656781,,0.235562718,,0.808850013,0.085403359,0.34041022,0.58207859,0.41046098,0.634193194,,0.616520351,0.948684211,0.789411206,0.233611011,21.55566327,21.48279982,7.083333333,50.12179642,SC
420011,0.313993174,,0.683959451,0.498976313,,,0.9625,0.97,1,1,1,,,,0.9865,,0.905989793,,0.47234371,0.940856399,,,0.773063301,0.724753019,,,0.280789474,0.044396961,,25.09488459,11.66599393,10,46.76087852,SC
420015,0.347554039,,0.642516398,0.495035219,0.986666667,0.951612903,1,1,0.989010989,0.989010989,1,1,1,,0.990700172,0.553431798,0.119527263,,0.112940571,0.155665957,0.34041022,0.709144326,0.331853356,0.883369923,,0.418196329,0.383421053,0.731244065,0.766751177,20.19543051,21.21988364,25.41666667,66.83198082,SC
420016,0.699374289,,0.665175909,0.682275099,,,0.5875,,,,,,,,0.5875,,0.288208434,,0.161306921,0.198012775,,,0.21584271,0.338090011,,,0.255789474,0.044396961,,16.50686454,7.091960508,,,SC
